Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2015/10/02,2015-10-02 04:02:02 AM -0700,,420.00,ACH,false,LIVINGSOCIAL,Livingsocial,Income,Other,,,,,,,
2015/10/03,2015-10-02 06:41:38 PM -0700,,-11.08,Signature purchase,false,SWEET COW - SOUTH BOUL,Sweet Cow South Bould,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/10/04,2015-10-03 05:30:25 PM -0700,,-12.39,Signature purchase,false,VIKING SPIRITS LIQUOR,Viking Spirits Liquor,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/10/04,2015-10-03 05:50:02 PM -0700,,-25.15,Pin purchase,false,MICHAELS STORE,Michaels Store,Personal,Hobbies,,Boulder,CO,,40.03402,-105.30482,
2015/10/04,2015-10-03 05:55:07 PM -0700,,-23.89,Signature purchase,false,PAPA MURPHY'S CO075,Papa Murphy's Co075,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/10/03,2015-10-03 12:41:31 PM -0700,,-7.00,Signature purchase,false,SQ *CAFFE SOLE,Caffe Sole,Food & Drink,Restaurants,,Boulder,CO,,40.03402,-105.30482,
2015/10/04,2015-10-04 04:12:24 PM -0700,,-166.94,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/10/05,2015-10-04 05:29:10 PM -0700,,-34.97,Pin purchase,false,TARGET T-1769,Target T,Food & Drink,Groceries,,Superior,CO,,39.93119,-105.15909,
2015/10/05,2015-10-04 06:10:01 PM -0700,,-14.96,Signature purchase,false,BOULDER BEER & LIQUOR,Boulder Beer & Liquor Emp,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/10/06,2015-10-06 04:34:08 PM -0700,,-17.39,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/10/07,2015-10-07 02:33:04 PM -0700,,-62.95,Pin purchase,false,1465 S EATON STREE,0000Lx ATM,Uncategorized,Cash,,Lakewood,CO,,39.69894,-105.11755,
2015/10/08,2015-10-07 05:21:19 PM -0700,,-29.43,Signature purchase,false,LARKBURGER BOULDER,Larkburger Boulder,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
